gene_id	group	Case PTV	Ctrl PTV	Case mis3	Ctrl mis3	Case mis2	Ctrl mis2	P ca/co (Class 1)	P ca/co (Class 2)	P ca/co (comb)	De novo PTV	De novo mis3	De novo mis2	P de novo	P meta	Q meta	OR (PTV)	OR (Class I)	OR (Class II)	OR (PTV) lower bound	OR (PTV) upper bound	OR (Class I) lower bound	OR (Class I) upper bound	OR (Class II) lower bound	OR (Class II) upper bound
ENSG00000233670	meta	0	5	0	0	0	0	8.6900e-01	NA	8.6900e-01	NA	NA	NA	NA	8.6900e-01	1.0000e+00	0.0000e+00	0.0000e+00	NA	0.0000e+00	4.3800e+00	0.0000e+00	4.3800e+00	NA	NA
ENSG00000233701	meta	0	9	0	0	0	0	2.7500e-01	NA	2.7500e-01	NA	NA	NA	NA	2.7500e-01	1.0000e+00	0.0000e+00	0.0000e+00	NA	0.0000e+00	2.0300e+00	0.0000e+00	2.0300e+00	NA	NA
ENSG00000233816	meta	0	4	1	0	4	22	5.4100e-01	7.9700e-01	5.4100e-01	NA	NA	NA	NA	5.4100e-01	1.0000e+00	0.0000e+00	1.0000e+00	7.3000e-01	0.0000e+00	6.0800e+00	2.0400e-02	1.0100e+01	1.8300e-01	2.1500e+00
ENSG00000233822	meta	6	9	0	0	0	8	9.5500e-02	5.0000e-01	9.5500e-02	NA	NA	NA	NA	9.5500e-02	1.0000e+00	2.6800e+00	2.6800e+00	0.0000e+00	7.8400e-01	8.4200e+00	7.8400e-01	8.4200e+00	0.0000e+00	2.3500e+00
ENSG00000233927	meta	NA	NA	NA	NA	0	1	NA	1.0000e+00	NA	NA	NA	NA	NA	NA	NA	0.0000e+00	NA	0.0000e+00	0.0000e+00	Infinity	NA	NA	0.0000e+00	1.5600e+02
ENSG00000233932	meta	1	0	0	0	0	0	5.7800e-01	NA	5.7800e-01	NA	NA	NA	NA	5.7800e-01	1.0000e+00	Infinity	Infinity	NA	1.0300e-01	Infinity	1.0300e-01	Infinity	NA	NA
ENSG00000234068	meta	2	4	0	0	0	0	5.9100e-01	NA	5.9100e-01	NA	NA	NA	NA	5.9100e-01	1.0000e+00	2.0100e+00	2.0100e+00	NA	1.8200e-01	1.4000e+01	1.8200e-01	1.4000e+01	NA	NA
ENSG00000234127	meta	2	13	0	0	5	20	7.8100e-01	1.0000e+00	7.8100e-01	NA	NA	NA	NA	7.8100e-01	1.0000e+00	6.1700e-01	6.1700e-01	1.0000e+00	6.7600e-02	2.7300e+00	6.7600e-02	2.7300e+00	2.9400e-01	2.7600e+00
ENSG00000234284	meta	1	2	0	0	0	0	6.4500e-01	NA	6.4500e-01	NA	NA	NA	NA	6.4500e-01	1.0000e+00	2.0100e+00	2.0100e+00	NA	3.4000e-02	3.8500e+01	3.4000e-02	3.8500e+01	NA	NA
ENSG00000234438	meta	2	11	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	7.3000e-01	7.3000e-01	NA	7.8600e-02	3.3400e+00	7.8600e-02	3.3400e+00	NA	NA
