gene_id	group	Case PTV	Ctrl PTV	Case mis3	Ctrl mis3	Case mis2	Ctrl mis2	P ca/co (Class 1)	P ca/co (Class 2)	P ca/co (comb)	De novo PTV	De novo mis3	De novo mis2	P de novo	P meta	Q meta	OR (PTV)	OR (Class I)	OR (Class II)	OR (PTV) lower bound	OR (PTV) upper bound	OR (Class I) lower bound	OR (Class I) upper bound	OR (Class II) lower bound	OR (Class II) upper bound
ENSG00000077498	meta	22	52	0	0	0	0	7.9000e-02	NA	7.9000e-02	NA	NA	NA	NA	7.9000e-02	1.0000e+00	1.7000e+00	1.7000e+00	NA	9.8200e-01	2.8500e+00	9.8200e-01	2.8500e+00	NA	NA
ENSG00000077514	meta	4	7	0	0	0	0	3.3600e-01	NA	3.3600e-01	NA	NA	NA	NA	3.3600e-01	1.0000e+00	2.2900e+00	2.2900e+00	NA	4.9200e-01	9.0200e+00	4.9200e-01	9.0200e+00	NA	NA
ENSG00000077522	meta	2	8	0	0	8	23	6.8600e-01	3.6000e-01	5.3800e-01	NA	NA	NA	NA	5.3800e-01	1.0000e+00	1.0000e+00	1.0000e+00	1.4000e+00	1.0400e-01	5.0300e+00	1.0400e-01	5.0300e+00	5.4000e-01	3.2300e+00
ENSG00000077549	meta	0	2	0	2	6	13	1.0000e+00	2.5300e-01	7.8000e-01	NA	NA	NA	NA	7.8000e-01	1.0000e+00	0.0000e+00	0.0000e+00	1.8500e+00	0.0000e+00	2.1400e+01	0.0000e+00	6.0800e+00	5.7700e-01	5.2200e+00
ENSG00000077585	meta	17	44	0	0	8	28	3.1700e-01	6.9300e-01	2.8600e-01	NA	NA	NA	NA	2.8600e-01	1.0000e+00	1.5500e+00	1.5500e+00	1.1500e+00	8.3100e-01	2.7700e+00	8.3100e-01	2.7700e+00	4.5200e-01	2.5800e+00
ENSG00000077616	meta	11	75	0	0	0	0	9.0700e-02	NA	9.0700e-02	NA	NA	NA	NA	9.0700e-02	1.0000e+00	5.8800e-01	5.8800e-01	NA	2.8200e-01	1.1100e+00	2.8200e-01	1.1100e+00	NA	NA
ENSG00000077684	meta	5	4	0	0	2	5	4.9800e-02	6.1800e-01	4.3000e-02	NA	NA	NA	NA	4.3000e-02	9.5200e-01	5.0200e+00	5.0200e+00	1.6100e+00	1.0800e+00	2.5300e+01	1.0800e+00	2.5300e+01	1.5300e-01	9.8100e+00
ENSG00000077713	meta	5	1	0	0	0	0	9.3200e-04	NA	9.3200e-04	NA	NA	NA	NA	9.3200e-04	2.8200e-01	2.0100e+01	2.0100e+01	NA	2.2500e+00	9.4400e+02	2.2500e+00	9.4400e+02	NA	NA
ENSG00000077721	meta	NA	NA	NA	NA	0	1	7.5100e-01	1.0000e+00	7.5100e-01	NA	NA	NA	NA	7.5100e-01	1.0000e+00	0.0000e+00	1.3400e+00	0.0000e+00	0.0000e+00	Infinity	2.5500e-02	1.6700e+01	0.0000e+00	1.5600e+02
ENSG00000077782	meta	0	9	0	0	17	53	3.1300e-01	4.2100e-01	3.1300e-01	NA	NA	NA	NA	3.1300e-01	1.0000e+00	0.0000e+00	0.0000e+00	1.2900e+00	0.0000e+00	2.0300e+00	0.0000e+00	2.0300e+00	6.9900e-01	2.2600e+00
ENSG00000077800	meta	7	24	1	2	1	5	7.5600e-01	1.0000e+00	7.5600e-01	NA	NA	NA	NA	7.5600e-01	1.0000e+00	1.1700e+00	1.2400e+00	8.0300e-01	4.2600e-01	2.8000e+00	4.8300e-01	2.8100e+00	1.7000e-02	7.1700e+00
ENSG00000077809	meta	2	7	3	14	2	7	8.7700e-01	6.8700e-01	8.7700e-01	NA	NA	NA	NA	8.7700e-01	1.0000e+00	1.1500e+00	9.5600e-01	1.1500e+00	1.1600e-01	6.0200e+00	2.8200e-01	2.6000e+00	1.1600e-01	6.0200e+00
ENSG00000077935	meta	10	21	0	0	0	0	1.0800e-01	NA	1.0800e-01	NA	NA	NA	NA	1.0800e-01	1.0000e+00	1.9100e+00	1.9100e+00	NA	8.0400e-01	4.2400e+00	8.0400e-01	4.2400e+00	NA	NA
ENSG00000077942	meta	4	8	0	0	0	0	2.0400e-01	NA	2.0400e-01	NA	NA	NA	NA	2.0400e-01	1.0000e+00	2.0100e+00	2.0100e+00	NA	4.4200e-01	7.4900e+00	4.4200e-01	7.4900e+00	NA	NA
ENSG00000077943	meta	12	39	0	0	0	0	3.5800e-01	NA	3.5800e-01	NA	NA	NA	NA	3.5800e-01	1.0000e+00	1.2400e+00	1.2400e+00	NA	5.8900e-01	2.4100e+00	5.8900e-01	2.4100e+00	NA	NA
ENSG00000077984	meta	2	19	0	0	0	0	1.5500e-01	NA	1.5500e-01	NA	NA	NA	NA	1.5500e-01	1.0000e+00	4.2200e-01	4.2200e-01	NA	4.7700e-02	1.7500e+00	4.7700e-02	1.7500e+00	NA	NA
ENSG00000078018	meta	4	7	0	0	1	17	1.7400e-01	2.5000e-01	1.7400e-01	NA	NA	NA	NA	1.7400e-01	1.0000e+00	2.2900e+00	2.2900e+00	2.3600e-01	4.9200e-01	9.0200e+00	4.9200e-01	9.0200e+00	5.6500e-03	1.5100e+00
ENSG00000078043	meta	0	2	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	0.0000e+00	0.0000e+00	NA	0.0000e+00	2.1400e+01	0.0000e+00	2.1400e+01	NA	NA
ENSG00000078053	meta	11	20	0	3	2	11	2.9300e-02	1.0000e+00	2.9300e-02	NA	NA	NA	NA	2.9300e-02	8.8800e-01	2.2100e+00	1.9200e+00	7.3000e-01	9.5500e-01	4.8300e+00	8.4500e-01	4.1000e+00	7.8600e-02	3.3400e+00
ENSG00000078061	meta	0	4	0	0	7	25	1.0000e+00	8.1100e-01	9.5300e-01	NA	NA	NA	NA	9.5300e-01	1.0000e+00	0.0000e+00	0.0000e+00	1.1200e+00	0.0000e+00	6.0800e+00	0.0000e+00	6.0800e+00	4.1000e-01	2.6700e+00
ENSG00000078070	meta	10	51	0	0	0	0	7.1500e-01	NA	7.1500e-01	NA	NA	NA	NA	7.1500e-01	1.0000e+00	7.8700e-01	7.8700e-01	NA	3.5600e-01	1.5700e+00	3.5600e-01	1.5700e+00	NA	NA
ENSG00000078081	meta	4	14	0	0	0	0	4.4800e-01	NA	4.4800e-01	NA	NA	NA	NA	4.4800e-01	1.0000e+00	1.1500e+00	1.1500e+00	NA	2.7500e-01	3.6500e+00	2.7500e-01	3.6500e+00	NA	NA
ENSG00000078098	meta	6	41	0	0	0	0	1.7300e-01	NA	1.7300e-01	NA	NA	NA	NA	1.7300e-01	1.0000e+00	5.8700e-01	5.8700e-01	NA	2.0400e-01	1.3900e+00	2.0400e-01	1.3900e+00	NA	NA
ENSG00000078114	meta	19	71	0	2	3	8	9.2800e-01	3.8200e-01	7.6300e-01	NA	NA	NA	NA	7.6300e-01	1.0000e+00	1.0700e+00	1.0400e+00	1.5100e+00	6.1100e-01	1.8000e+00	5.9500e-01	1.7500e+00	2.5700e-01	6.2700e+00
ENSG00000078124	meta	4	7	0	0	1	6	3.3600e-01	1.0000e+00	3.3600e-01	NA	NA	NA	NA	3.3600e-01	1.0000e+00	2.2900e+00	2.2900e+00	6.6900e-01	4.9200e-01	9.0200e+00	4.9200e-01	9.0200e+00	1.4500e-02	5.5100e+00
ENSG00000078140	meta	NA	NA	NA	NA	0	1	1.0000e+00	1.0000e+00	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	Infinity	0.0000e+00	1.5600e+02	0.0000e+00	1.5600e+02
ENSG00000078142	meta	12	36	0	0	19	31	4.2100e-01	6.8500e-03	1.5000e-01	NA	NA	NA	NA	1.5000e-01	1.0000e+00	1.3400e+00	1.3400e+00	2.4600e+00	6.3400e-01	2.6300e+00	6.3400e-01	2.6300e+00	1.3100e+00	4.5000e+00
ENSG00000078177	meta	13	79	0	0	0	0	2.9900e-01	NA	2.9900e-01	NA	NA	NA	NA	2.9900e-01	1.0000e+00	6.6000e-01	6.6000e-01	NA	3.3700e-01	1.2000e+00	3.3700e-01	1.2000e+00	NA	NA
ENSG00000078237	meta	1	5	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	8.0300e-01	8.0300e-01	NA	1.7000e-02	7.1700e+00	1.7000e-02	7.1700e+00	NA	NA
ENSG00000078246	meta	7	33	0	0	0	0	8.3900e-01	NA	8.3900e-01	NA	NA	NA	NA	8.3900e-01	1.0000e+00	8.5100e-01	8.5100e-01	NA	3.1800e-01	1.9600e+00	3.1800e-01	1.9600e+00	NA	NA
ENSG00000078269	meta	23	74	0	0	0	0	3.8800e-01	NA	3.8800e-01	NA	NA	NA	NA	3.8800e-01	1.0000e+00	1.2500e+00	1.2500e+00	NA	7.4500e-01	2.0200e+00	7.4500e-01	2.0200e+00	NA	NA
ENSG00000078295	meta	5	13	1	0	10	27	2.4000e-01	2.7500e-01	1.6000e-01	NA	NA	NA	NA	1.6000e-01	1.0000e+00	1.5400e+00	1.8500e+00	1.4900e+00	4.3100e-01	4.6100e+00	5.7700e-01	5.2200e+00	6.4200e-01	3.1700e+00
ENSG00000078304	meta	3	5	0	0	1	24	4.8600e-01	5.0400e-02	4.8600e-01	NA	NA	NA	NA	4.8600e-01	1.0000e+00	2.4100e+00	2.4100e+00	1.6700e-01	3.7400e-01	1.2400e+01	3.7400e-01	1.2400e+01	4.0700e-03	1.0300e+00
ENSG00000078328	meta	2	3	0	0	3	2	1.8100e-01	2.0700e-01	1.0900e-01	NA	NA	NA	NA	1.0900e-01	1.0000e+00	2.6800e+00	2.6800e+00	6.0200e+00	2.2300e-01	2.3400e+01	2.2300e-01	2.3400e+01	6.9000e-01	7.2200e+01
ENSG00000078369	meta	NA	NA	NA	NA	2	16	2.8900e-01	5.3000e-01	2.8900e-01	NA	NA	NA	NA	2.8900e-01	1.0000e+00	0.0000e+00	2.0100e+00	5.0200e-01	0.0000e+00	Infinity	4.4200e-01	7.4900e+00	5.6000e-02	2.1300e+00
ENSG00000078399	meta	2	8	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	NA	1.0400e-01	5.0300e+00	1.0400e-01	5.0300e+00	NA	NA
ENSG00000078401	meta	2	4	0	0	0	0	3.6400e-01	NA	3.6400e-01	NA	NA	NA	NA	3.6400e-01	1.0000e+00	2.0100e+00	2.0100e+00	NA	1.8200e-01	1.4000e+01	1.8200e-01	1.4000e+01	NA	NA
ENSG00000078403	meta	5	10	2	5	2	3	1.7200e-01	3.9400e-01	1.2600e-01	NA	NA	NA	NA	1.2600e-01	1.0000e+00	2.0100e+00	1.8700e+00	2.6800e+00	5.3800e-01	6.4500e+00	6.4600e-01	4.8800e+00	2.2300e-01	2.3400e+01
ENSG00000078487	meta	12	75	0	0	0	0	4.1900e-01	NA	4.1900e-01	NA	NA	NA	NA	4.1900e-01	1.0000e+00	6.4200e-01	6.4200e-01	NA	3.1800e-01	1.1900e+00	3.1800e-01	1.1900e+00	NA	NA
ENSG00000078549	meta	5	23	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	8.7200e-01	8.7200e-01	NA	2.5900e-01	2.3500e+00	2.5900e-01	2.3500e+00	NA	NA
ENSG00000078579	meta	0	3	0	0	0	1	1.0000e+00	1.0000e+00	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	9.7100e+00	0.0000e+00	9.7100e+00	0.0000e+00	1.5600e+02
ENSG00000078589	meta	0	3	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	0.0000e+00	0.0000e+00	NA	0.0000e+00	9.7100e+00	0.0000e+00	9.7100e+00	NA	NA
ENSG00000078596	meta	1	4	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	NA	2.0400e-02	1.0100e+01	2.0400e-02	1.0100e+01	NA	NA
ENSG00000078618	meta	7	27	0	0	0	0	9.0500e-01	NA	9.0500e-01	NA	NA	NA	NA	9.0500e-01	1.0000e+00	1.0400e+00	1.0400e+00	NA	3.8300e-01	2.4500e+00	3.8300e-01	2.4500e+00	NA	NA
ENSG00000078668	meta	1	3	0	0	0	0	7.3300e-01	NA	7.3300e-01	NA	NA	NA	NA	7.3300e-01	1.0000e+00	1.3400e+00	1.3400e+00	NA	2.5500e-02	1.6700e+01	2.5500e-02	1.6700e+01	NA	NA
ENSG00000078674	meta	16	47	0	0	0	0	1.3500e-01	NA	1.3500e-01	NA	NA	NA	NA	1.3500e-01	1.0000e+00	1.3700e+00	1.3700e+00	NA	7.2300e-01	2.4500e+00	7.2300e-01	2.4500e+00	NA	NA
ENSG00000078687	meta	3	6	0	0	0	0	4.5700e-01	NA	4.5700e-01	NA	NA	NA	NA	4.5700e-01	1.0000e+00	2.0100e+00	2.0100e+00	NA	3.2500e-01	9.4000e+00	3.2500e-01	9.4000e+00	NA	NA
ENSG00000078699	meta	3	6	0	0	0	2	4.4800e-01	1.0000e+00	4.4800e-01	NA	NA	NA	NA	4.4800e-01	1.0000e+00	2.0100e+00	2.0100e+00	0.0000e+00	3.2500e-01	9.4000e+00	3.2500e-01	9.4000e+00	0.0000e+00	2.1400e+01
ENSG00000078725	meta	4	6	0	0	0	0	1.2900e-01	NA	1.2900e-01	NA	NA	NA	NA	1.2900e-01	1.0000e+00	2.6800e+00	2.6800e+00	NA	5.5500e-01	1.1300e+01	5.5500e-01	1.1300e+01	NA	NA
ENSG00000078747	meta	3	12	0	0	12	52	7.4100e-01	1.0000e+00	7.4100e-01	NA	NA	NA	NA	7.4100e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.2600e-01	1.8200e-01	3.7200e+00	1.8200e-01	3.7200e+00	4.5000e-01	1.7600e+00
ENSG00000078795	meta	10	48	0	0	0	0	8.3900e-01	NA	8.3900e-01	NA	NA	NA	NA	8.3900e-01	1.0000e+00	8.3600e-01	8.3600e-01	NA	3.7700e-01	1.6700e+00	3.7700e-01	1.6700e+00	NA	NA
ENSG00000078804	meta	3	3	0	0	0	0	6.4200e-02	NA	6.4200e-02	NA	NA	NA	NA	6.4200e-02	1.0000e+00	4.0100e+00	4.0100e+00	NA	5.3800e-01	3.0000e+01	5.3800e-01	3.0000e+01	NA	NA
ENSG00000078808	meta	5	16	0	0	0	0	5.4400e-01	NA	5.4400e-01	NA	NA	NA	NA	5.4400e-01	1.0000e+00	1.2500e+00	1.2500e+00	NA	3.5900e-01	3.5800e+00	3.5900e-01	3.5800e+00	NA	NA
ENSG00000078814	meta	31	133	0	0	0	0	7.1100e-01	NA	7.1100e-01	NA	NA	NA	NA	7.1100e-01	1.0000e+00	9.3500e-01	9.3500e-01	NA	6.1100e-01	1.3900e+00	6.1100e-01	1.3900e+00	NA	NA
ENSG00000078898	meta	6	18	0	0	0	0	5.8400e-01	NA	5.8400e-01	NA	NA	NA	NA	5.8400e-01	1.0000e+00	1.3400e+00	1.3400e+00	NA	4.3500e-01	3.5200e+00	4.3500e-01	3.5200e+00	NA	NA
ENSG00000078900	meta	0	5	0	0	6	18	5.9800e-01	6.7900e-01	5.9800e-01	NA	NA	NA	NA	5.9800e-01	1.0000e+00	0.0000e+00	0.0000e+00	1.3400e+00	0.0000e+00	4.3800e+00	0.0000e+00	4.3800e+00	4.3500e-01	3.5200e+00
ENSG00000078902	meta	1	6	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	6.6900e-01	6.6900e-01	NA	1.4500e-02	5.5100e+00	1.4500e-02	5.5100e+00	NA	NA
ENSG00000078967	meta	6	13	0	0	0	0	2.7800e-01	NA	2.7800e-01	NA	NA	NA	NA	2.7800e-01	1.0000e+00	1.8500e+00	1.8500e+00	NA	5.7700e-01	5.2200e+00	5.7700e-01	5.2200e+00	NA	NA
ENSG00000079101	meta	9	35	0	0	0	0	9.0700e-01	NA	9.0700e-01	NA	NA	NA	NA	9.0700e-01	1.0000e+00	1.0300e+00	1.0300e+00	NA	4.3600e-01	2.1900e+00	4.3600e-01	2.1900e+00	NA	NA
ENSG00000079102	meta	2	3	0	0	1	4	4.7700e-01	1.0000e+00	4.7700e-01	NA	NA	NA	NA	4.7700e-01	1.0000e+00	2.6800e+00	2.6800e+00	1.0000e+00	2.2300e-01	2.3400e+01	2.2300e-01	2.3400e+01	2.0400e-02	1.0100e+01
ENSG00000079112	meta	14	49	0	0	0	0	5.0100e-01	NA	5.0100e-01	NA	NA	NA	NA	5.0100e-01	1.0000e+00	1.1500e+00	1.1500e+00	NA	5.8500e-01	2.1100e+00	5.8500e-01	2.1100e+00	NA	NA
ENSG00000079134	meta	11	11	0	0	0	0	8.3100e-02	NA	8.3100e-02	NA	NA	NA	NA	8.3100e-02	1.0000e+00	4.0100e+00	4.0100e+00	NA	1.5800e+00	1.0200e+01	1.5800e+00	1.0200e+01	NA	NA
ENSG00000079150	meta	2	10	0	0	0	0	7.1300e-01	NA	7.1300e-01	NA	NA	NA	NA	7.1300e-01	1.0000e+00	8.0300e-01	8.0300e-01	NA	8.5500e-02	3.7700e+00	8.5500e-02	3.7700e+00	NA	NA
ENSG00000079156	meta	6	17	0	0	0	0	2.5200e-01	NA	2.5200e-01	NA	NA	NA	NA	2.5200e-01	1.0000e+00	1.4200e+00	1.4200e+00	NA	4.5700e-01	3.7700e+00	4.5700e-01	3.7700e+00	NA	NA
ENSG00000079215	meta	1	9	0	0	0	0	8.2500e-01	NA	8.2500e-01	NA	NA	NA	NA	8.2500e-01	1.0000e+00	4.4600e-01	4.4600e-01	NA	1.0200e-02	3.2200e+00	1.0200e-02	3.2200e+00	NA	NA
ENSG00000079246	meta	1	4	0	0	2	12	7.3200e-01	1.0000e+00	7.3200e-01	NA	NA	NA	NA	7.3200e-01	1.0000e+00	1.0000e+00	1.0000e+00	6.6900e-01	2.0400e-02	1.0100e+01	2.0400e-02	1.0100e+01	7.2700e-02	3.0000e+00
ENSG00000079257	meta	1	16	0	0	0	0	2.7900e-01	NA	2.7900e-01	NA	NA	NA	NA	2.7900e-01	1.0000e+00	2.5100e-01	2.5100e-01	NA	5.9800e-03	1.6100e+00	5.9800e-03	1.6100e+00	NA	NA
ENSG00000079263	meta	7	35	0	0	8	19	5.3400e-01	1.9300e-01	5.3400e-01	NA	NA	NA	NA	5.3400e-01	1.0000e+00	8.0300e-01	8.0300e-01	1.6900e+00	3.0100e-01	1.8300e+00	3.0100e-01	1.8300e+00	6.4000e-01	4.0400e+00
ENSG00000079277	meta	7	19	0	0	0	0	3.3600e-01	NA	3.3600e-01	NA	NA	NA	NA	3.3600e-01	1.0000e+00	1.4800e+00	1.4800e+00	NA	5.2500e-01	3.6700e+00	5.2500e-01	3.6700e+00	NA	NA
ENSG00000079308	meta	9	30	0	0	0	0	5.3800e-01	NA	5.3800e-01	NA	NA	NA	NA	5.3800e-01	1.0000e+00	1.2000e+00	1.2000e+00	NA	5.0300e-01	2.6000e+00	5.0300e-01	2.6000e+00	NA	NA
ENSG00000079313	meta	2	12	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	6.6900e-01	6.6900e-01	NA	7.2700e-02	3.0000e+00	7.2700e-02	3.0000e+00	NA	NA
ENSG00000079332	meta	2	0	0	0	0	0	3.2500e-02	NA	3.2500e-02	NA	NA	NA	NA	3.2500e-02	9.0900e-01	Infinity	Infinity	NA	7.5400e-01	Infinity	7.5400e-01	Infinity	NA	NA
ENSG00000079335	meta	6	27	0	0	0	0	8.3500e-01	NA	8.3500e-01	NA	NA	NA	NA	8.3500e-01	1.0000e+00	8.9200e-01	8.9200e-01	NA	3.0100e-01	2.2100e+00	3.0100e-01	2.2100e+00	NA	NA
ENSG00000079337	meta	8	49	0	0	0	0	3.4900e-01	NA	3.4900e-01	NA	NA	NA	NA	3.4900e-01	1.0000e+00	6.5500e-01	6.5500e-01	NA	2.6800e-01	1.4000e+00	2.6800e-01	1.4000e+00	NA	NA
ENSG00000079385	meta	7	23	0	0	0	0	8.3700e-01	NA	8.3700e-01	NA	NA	NA	NA	8.3700e-01	1.0000e+00	1.2200e+00	1.2200e+00	NA	4.4300e-01	2.9400e+00	4.4300e-01	2.9400e+00	NA	NA
ENSG00000079387	meta	0	3	0	0	3	27	1.0000e+00	3.1700e-01	8.0700e-01	NA	NA	NA	NA	8.0700e-01	1.0000e+00	0.0000e+00	0.0000e+00	4.4600e-01	0.0000e+00	9.7100e+00	0.0000e+00	9.7100e+00	8.6600e-02	1.4500e+00
ENSG00000079393	meta	5	18	0	0	0	0	5.5800e-01	NA	5.5800e-01	NA	NA	NA	NA	5.5800e-01	1.0000e+00	1.1100e+00	1.1100e+00	NA	3.2400e-01	3.1200e+00	3.2400e-01	3.1200e+00	NA	NA
ENSG00000079432	meta	2	11	5	1	10	49	1.8000e-01	7.4800e-01	1.8000e-01	NA	NA	NA	NA	1.8000e-01	1.0000e+00	7.3000e-01	2.3400e+00	8.1900e-01	7.8600e-02	3.3400e+00	7.8100e-01	6.4500e+00	3.7000e-01	1.6400e+00
ENSG00000079435	meta	13	61	0	0	0	0	8.6500e-01	NA	8.6500e-01	NA	NA	NA	NA	8.6500e-01	1.0000e+00	8.5500e-01	8.5500e-01	NA	4.3100e-01	1.5700e+00	4.3100e-01	1.5700e+00	NA	NA
ENSG00000079459	meta	5	34	0	0	0	0	3.9600e-01	NA	3.9600e-01	NA	NA	NA	NA	3.9600e-01	1.0000e+00	5.9000e-01	5.9000e-01	NA	1.8000e-01	1.5200e+00	1.8000e-01	1.5200e+00	NA	NA
ENSG00000079462	meta	5	15	0	0	0	0	6.8100e-01	NA	6.8100e-01	NA	NA	NA	NA	6.8100e-01	1.0000e+00	1.3400e+00	1.3400e+00	NA	3.8000e-01	3.8700e+00	3.8000e-01	3.8700e+00	NA	NA
ENSG00000079482	meta	2	1	0	0	7	30	1.9900e-01	1.0000e+00	1.9900e-01	NA	NA	NA	NA	1.9900e-01	1.0000e+00	8.0300e+00	8.0300e+00	9.3600e-01	4.1800e-01	4.7200e+02	4.1800e-01	4.7200e+02	3.4700e-01	2.1800e+00
ENSG00000079557	meta	9	27	0	0	0	0	5.2300e-01	NA	5.2300e-01	NA	NA	NA	NA	5.2300e-01	1.0000e+00	1.3400e+00	1.3400e+00	NA	5.5400e-01	2.9300e+00	5.5400e-01	2.9300e+00	NA	NA
ENSG00000079616	meta	8	27	0	0	0	0	7.9200e-01	NA	7.9200e-01	NA	NA	NA	NA	7.9200e-01	1.0000e+00	1.1900e+00	1.1900e+00	NA	4.6700e-01	2.6900e+00	4.6700e-01	2.6900e+00	NA	NA
ENSG00000079689	meta	6	14	0	0	0	0	5.3400e-01	NA	5.3400e-01	NA	NA	NA	NA	5.3400e-01	1.0000e+00	1.7200e+00	1.7200e+00	NA	5.4200e-01	4.7700e+00	5.4200e-01	4.7700e+00	NA	NA
ENSG00000079691	meta	7	33	0	0	0	0	9.3300e-01	NA	9.3300e-01	NA	NA	NA	NA	9.3300e-01	1.0000e+00	8.5100e-01	8.5100e-01	NA	3.1800e-01	1.9600e+00	3.1800e-01	1.9600e+00	NA	NA
ENSG00000079739	meta	6	32	0	0	0	0	7.9000e-01	NA	7.9000e-01	NA	NA	NA	NA	7.9000e-01	1.0000e+00	7.5200e-01	7.5200e-01	NA	2.5700e-01	1.8200e+00	2.5700e-01	1.8200e+00	NA	NA
ENSG00000079785	meta	5	13	0	0	0	0	4.3900e-01	NA	4.3900e-01	NA	NA	NA	NA	4.3900e-01	1.0000e+00	1.5400e+00	1.5400e+00	NA	4.3100e-01	4.6100e+00	4.3100e-01	4.6100e+00	NA	NA
ENSG00000079805	meta	3	5	0	0	27	80	1.7300e-01	1.9000e-01	1.0100e-01	NA	NA	NA	NA	1.0100e-01	1.0000e+00	2.4100e+00	2.4100e+00	1.3500e+00	3.7400e-01	1.2400e+01	3.7400e-01	1.2400e+01	8.4200e-01	2.1200e+00
ENSG00000079819	meta	4	16	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	NA	2.4400e-01	3.1100e+00	2.4400e-01	3.1100e+00	NA	NA
ENSG00000079841	meta	2	19	0	0	1	2	5.3700e-01	4.1300e-01	5.3700e-01	NA	NA	NA	NA	5.3700e-01	1.0000e+00	4.2200e-01	4.2200e-01	2.0100e+00	4.7700e-02	1.7500e+00	4.7700e-02	1.7500e+00	3.4000e-02	3.8500e+01
ENSG00000079931	meta	13	39	0	0	0	0	4.6500e-01	NA	4.6500e-01	NA	NA	NA	NA	4.6500e-01	1.0000e+00	1.3400e+00	1.3400e+00	NA	6.5500e-01	2.5600e+00	6.5500e-01	2.5600e+00	NA	NA
ENSG00000079950	meta	1	18	0	0	0	0	3.1200e-02	NA	3.1200e-02	NA	NA	NA	NA	3.1200e-02	9.0300e-01	2.2300e-01	2.2300e-01	NA	5.3500e-03	1.4100e+00	5.3500e-03	1.4100e+00	NA	NA
ENSG00000079974	meta	1	12	0	0	0	0	4.9900e-01	NA	4.9900e-01	NA	NA	NA	NA	4.9900e-01	1.0000e+00	3.3400e-01	3.3400e-01	NA	7.8300e-03	2.2600e+00	7.8300e-03	2.2600e+00	NA	NA
ENSG00000079999	meta	1	17	0	0	22	59	2.3700e-01	1.1300e-01	2.3700e-01	NA	NA	NA	NA	2.3700e-01	1.0000e+00	2.3600e-01	2.3600e-01	1.5000e+00	5.6500e-03	1.5100e+00	5.6500e-03	1.5100e+00	8.7300e-01	2.4800e+00
ENSG00000080007	meta	12	17	0	0	0	0	1.2000e-02	NA	1.2000e-02	NA	NA	NA	NA	1.2000e-02	7.5900e-01	2.8300e+00	2.8300e+00	NA	1.2300e+00	6.3000e+00	1.2300e+00	6.3000e+00	NA	NA
ENSG00000080031	meta	11	87	0	0	0	0	2.7700e-02	NA	2.7700e-02	NA	NA	NA	NA	2.7700e-02	8.7100e-01	5.0700e-01	5.0700e-01	NA	2.4400e-01	9.5300e-01	2.4400e-01	9.5300e-01	NA	NA
ENSG00000080166	meta	8	23	0	0	0	0	5.2700e-01	NA	5.2700e-01	NA	NA	NA	NA	5.2700e-01	1.0000e+00	1.4000e+00	1.4000e+00	NA	5.4000e-01	3.2300e+00	5.4000e-01	3.2300e+00	NA	NA
ENSG00000080189	meta	6	16	0	0	0	0	5.1600e-01	NA	5.1600e-01	NA	NA	NA	NA	5.1600e-01	1.0000e+00	1.5100e+00	1.5100e+00	NA	4.8200e-01	4.0500e+00	4.8200e-01	4.0500e+00	NA	NA
ENSG00000080200	meta	8	35	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	9.1700e-01	9.1700e-01	NA	3.6800e-01	2.0100e+00	3.6800e-01	2.0100e+00	NA	NA
ENSG00000080224	meta	1	23	0	0	0	0	1.0900e-01	NA	1.0900e-01	NA	NA	NA	NA	1.0900e-01	1.0000e+00	1.7400e-01	1.7400e-01	NA	4.2400e-03	1.0700e+00	4.2400e-03	1.0700e+00	NA	NA
ENSG00000080293	meta	12	35	0	0	0	0	3.9500e-01	NA	3.9500e-01	NA	NA	NA	NA	3.9500e-01	1.0000e+00	1.3800e+00	1.3800e+00	NA	6.5000e-01	2.7200e+00	6.5000e-01	2.7200e+00	NA	NA
