gene_id	group	xcase_dn_ptv	xcont_dn_ptv	xcase_dn_misb	xcont_dn_misb	xcase_dn_misa	xcont_dn_misa	xcase_dbs_ptv	xcont_dbs_ptv	xcase_swe_ptv	xcont_swe_ptv	xcase_tut	xcont_tut	qval
ENSG00000006377	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2132e-01
ENSG00000006432	All	0	0	0	0	0	0	0	1	0	0	5	2	9.2577e-01
ENSG00000006451	All	0	0	1	0	0	0	0	0	0	0	0	0	4.3088e-01
ENSG00000006453	All	0	0	0	0	0	0	0	0	0	1	5	3	9.1765e-01
ENSG00000006459	All	0	0	0	0	0	0	1	1	0	0	0	0	9.2491e-01
ENSG00000006468	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2213e-01
ENSG00000006530	All	0	0	0	0	0	0	3	4	0	0	3	1	8.7757e-01
ENSG00000006534	All	0	0	0	0	0	0	0	0	0	0	0	0	8.9188e-01
ENSG00000006555	All	0	0	0	0	0	0	0	0	1	1	1	1	8.9471e-01
ENSG00000006576	All	0	0	0	0	0	0	0	2	0	0	2	0	9.2768e-01
ENSG00000006606	All	0	0	0	0	0	0	0	0	0	0	0	0	9.1932e-01
ENSG00000006607	All	1	0	0	0	0	0	2	9	0	0	9	5	9.2251e-01
ENSG00000006611	All	0	1	0	0	0	0	2	6	0	0	6	6	8.5070e-01
ENSG00000006625	All	0	0	0	0	0	0	0	1	0	1	1	0	9.1027e-01
ENSG00000006634	All	0	0	0	0	0	0	0	1	0	0	1	0	9.2097e-01
ENSG00000006638	All	0	0	0	0	0	0	0	0	0	1	0	0	9.3021e-01
ENSG00000006652	All	0	0	0	0	0	0	0	1	0	0	0	1	9.2436e-01
ENSG00000006659	All	0	0	0	0	0	0	0	0	0	0	1	0	9.2536e-01
ENSG00000006695	All	0	0	0	0	0	0	0	0	0	1	2	0	9.2045e-01
ENSG00000006704	All	0	0	0	0	1	0	1	0	0	0	0	0	6.5096e-01
ENSG00000006712	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2739e-01
ENSG00000006715	All	0	0	0	0	1	0	1	0	0	2	2	5	6.7513e-01
ENSG00000006740	All	1	0	0	0	0	0	0	0	0	0	0	0	5.7466e-01
ENSG00000006744	All	0	0	0	0	0	0	0	3	1	2	6	4	8.5939e-01
ENSG00000006747	All	0	1	0	0	0	0	0	0	0	0	4	2	8.6760e-01
