gene	set
NDUFB4	background
SPEN	background
ZC3H15	background
MAP2K4	background
PACC1	background
SNAP91	background
SLK	background
CYB5R4	background
SEC61A2	background
ASB1	background
FAM107B	background
ME1	background
TBC1D1	background
CDK13	background
MTHFD2	background
FOXJ2	background
YBX1	background
PPP2R5A	background
CTNNA2	background
ELAVL1	background
TIE1	background
DIP2B	background
SMARCD1	background
KDM4A	background
NFYC	background
NGEF	background
ASPM	background
ELOVL1	background
ZNRD1	background
MPPED2	background
ZBTB11	background
ATXN3	background
GOLGA5	background
LRRC40	background
EML1	background
TRMT11	background
THUMPD1	background
MSANTD3	background
KIF26A	background
ATG2B	background
ARFGEF1	background
ZFAT	background
MTFR1	background
FECH	background
MYO9A	background
DDX3Y	background
PFKP	background
IDI1	background
KLF6	background
PLPP1	background
NEO1	background
TRAM1	background
TNFRSF1A	background
CACNB1	background
EVI5	background
STOML1	background
PKM	background
DHX29	background
DNTTIP2	background
METTL22	background
TP53BP1	background
TRO	background
RRP15	background
RHOA	background
DHX8	background
PMS2P4	background
PRKCZ	background
IARS2	background
SYT1	background
NAV3	background
IDH3G	background
ROGDI	background
PDZD4	background
ROCK1	background
CBFB	background
PDK3	background
HYAL2	background
RASSF1	background
HEATR6	background
COASY	background
MEF2A	background
OTUD5	background
TFE3	background
TBC1D25	background
ACSL4	background
GPKOW	background
GRIPAP1	background
FTSJ1	background
REEP1	background
POLR1A	background
LAPTM4A	background
IP6K2	background
SRBD1	background
KIF2A	background
RASGRP2	background
PSME4	background
IFT80	background
SIRT2	background
ERLEC1	background
PPP2R5B	background
MAST4	background
ADGRF5	background
NUP133	background
NUCKS1	background
VPS35	background
DNAJA2	background
KCNAB2	background
FUNDC1	background
MAOB	background
ATP1B3	background
PIGB	background
MAPK6	background
GNB5	background
HDHD5	background
UFD1	background
LRP6	background
PHRF1	background
ELP1	background
NUCB2	background
PFN2	background
SLC44A1	background
TMEM260	background
SMG6	background
EXOC5	background
FSTL3	background
DGCR2	background
RNF126	background
MNT	background
ZXDC	background
JMJD6	background
POLB	background
WIPI1	background
GBA2	background
NDST1	background
ASNS	background
AP3M2	background
PABPC1	background
CFAP20	background
PTPN21	background
EIF2B3	background
TCOF1	background
CDC42	background
OSBPL3	background
RAD18	background
ATP2B1	background
NCK2	background
MAP4K4	background
RPL31	background
WDR1	background
SNX13	background
RPS6KA2	background
ING3	background
VASH1	background
BUD23	background
SEL1L	background
TRIP13	background
TCF3	background
TRIB2	background
DAZAP1	background
MBD3	background
HLTF	background
FAM50A	background
FAM3A	background
CPSF1	background
PDCD2	background
SLC6A15	background
RDH11	background
PRKACA	background
ADGRL1	background
ACTN1	background
ZFYVE26	background
EPN2	background
PTPN18	background
LIMS2	background
SPEG	background
LNX1	background
ALDH3A2	background
TFRC	background
SREBF1	background
AFF4	background
UBE2D1	background
MPP5	background
RHOBTB1	background
SMC1A	background
HSD17B10	background
CHFR	background
P4HA2	background
NFATC3	background
TRNT1	background
ACADVL	background
STK10	background
FBXW11	background
CRMP1	background
DERL2	background
AP1M1	background
PVR	background
XRCC1	background
SCARB1	background
MCM2	background
SELENOO	background
ALPK1	background
CLCN4	background
NLE1	background
SDHA	background
SMARCE1	background
GSDMB	background
KDM5A	background
PPP2R3A	background
FERMT2	background
IGF2BP2	background
MAP3K13	background
ST6GAL1	background
FRY	background
PICALM	background
NSF	background
CLASP1	background
MRPS34	background
CLNS1A	background
TEAD2	background
EED	background
SNCB	background
TSG101	background
NCBP3	background
CA12	background
MGLL	background
NTN4	background
BCS1L	background
NUAK1	background
DPP8	background
ZNF532	background
SCARF1	background
LMAN1	background
HACD3	background
IPCEF1	background
ZZEF1	background
ENO1	background
TUBE1	background
ARHGEF10L	background
KCNQ2	background
ACTR6	background
TIPIN	background
SRI	background
EIF4G3	background
NUP37	background
SEMA3A	background
GTSE1	background
SEMA3C	background
TTC38	background
ACAT1	background
GRAMD4	background
ZNF638	background
SLC25A40	background
TIMM21	background
ADD2	background
RASAL2	background
VPS9D1	background
ZNF37A	background
MARK3	background
SLC25A3	background
FNDC3B	background
CACNG4	background
FRYL	background
TMEM131	background
FSCN1	background
ACTB	background
RAB7A	background
BCAP29	background
SART3	background
EXOSC7	background
KIFAP3	background
MKRN2	background
MCM6	background
REXO2	background
RBM7	background
BAZ2A	background
PTPN23	background
MLH1	background
UNG	background
KLHL20	background
SLC46A1	background
PLXNA2	background
SPAG5	background
ANKRD13A	background
TPD52	background
TRAF4	background
PAG1	background
GPATCH1	background
NT5C2	background
GPC4	background
RAP1GAP	background
XAB2	background
ARHGEF1	background
MAP2K7	background
DGKD	background
CTTNBP2	background
ACTL6B	background
TOP2B	background
TM9SF3	background
UBE2T	background
PPP1R12B	background
DNAJC10	background
GTF3C1	background
USP33	background
PAK3	background
DCX	background
EXOSC5	background
DYNC1I2	background
LRCH4	background
FAM76B	background
SIRT6	background
POLD3	background
ACTN2	background
CAPZB	background
GPR137B	background
NAALAD2	background
JADE1	background
UBE2A	background
FGFR1	background
FBLN1	background
MAP2	background
PIAS2	background
AMPH	background
ARAF	background
MCCC1	background
ACER3	background
UBE2K	background
PIK3C3	background
N4BP2	background
TIGAR	background
TULP3	background
ADCY2	background
PPP2R5C	background
PMS2P1	background
RBFOX1	background
GNB1	background
MLLT10	background
ADCYAP1R1	background
ITM2A	background
NRDC	background
VDAC3	background
PCM1	background
TNRC6C	background
CBFA2T2	background
BRINP1	background
ITCH	background
TP53INP2	background
SDF4	background
TOLLIP	background
UBE2D4	background
RUNX1T1	background
THOC1	background
FKBP7	background
OSBPL6	background
SLC1A3	background
XRCC5	background
MKNK1	background
REXO1	background
SAR1A	background
RAPGEF3	background
SENP1	background
CIC	background
LIPE	background
FDFT1	background
PAFAH1B3	background
OPHN1	background
KIF22	background
SCGN	background
CARMIL1	background
DDX1	background
DNM2	background
EPB41L2	background
RIMS1	background
MOXD1	background
STX7	background
RABL2B	background
KEAP1	background
SLC35C2	background
RFX3	background
RIF1	background
RAB21	background
SMARCA2	background
SESN1	background
SRCAP	background
PUM3	background
KCNN2	background
CNOT4	background
PSEN1	background
CLDND1	background
MOK	background
HSP90AA1	background
DLGAP4	background
NDC80	background
RSBN1	background
MAGI3	background
