transcript_id	module	module.color	module.number	kME	kMEtoMod	gene_id	transcript_name	gene_name	ensg	novelty
TALONT000334645	M10.purple	purple	10	0.5594240210897942	10	ENSG00000275066.5_8	SYNRG_TALONT000334645	SYNRG	ENSG00000275066	NIC
TALONT000334667	M12.tan	tan	12	0.7601580685619809	12	ENSG00000275066.5_8	SYNRG_TALONT000334667	SYNRG	ENSG00000275066	NNC
TALONT000334705	M1.turquoise	turquoise	1	0.9052755069856863	1	ENSG00000101199.13_7	ARFGAP1_TALONT000334705	ARFGAP1	ENSG00000101199	NIC
TALONT000334719	M1.turquoise	turquoise	1	0.8101686612106208	1	ENSG00000101199.13_7	ARFGAP1_TALONT000334719	ARFGAP1	ENSG00000101199	NIC
TALONT000334784	M26.darkorange	darkorange	26	0.6016225834989071	26	ENSG00000084652.16_3	TXLNA_TALONT000334784	TXLNA	ENSG00000084652	NNC
TALONT000334807	M25.orange	orange	25	0.7424028224380024	25	ENSG00000084652.16_3	TXLNA_TALONT000334807	TXLNA	ENSG00000084652	NIC
TALONT000334823	M25.orange	orange	25	0.8390470092114904	25	ENSG00000275066.5_8	SYNRG_TALONT000334823	SYNRG	ENSG00000275066	ISM
TALONT000334824	M8.pink	pink	8	0.5417175710110667	8	ENSG00000053770.12_4	AP5M1_TALONT000334824	AP5M1	ENSG00000053770	NIC
TALONT000334991	M36.yellowgreen	yellowgreen	36	0.6491787602675138	36	ENSG00000140400.17_8	MAN2C1_TALONT000334991	MAN2C1	ENSG00000140400	ISM
TALONT000335024	M1.turquoise	turquoise	1	0.8837986828237914	1	ENSG00000101199.13_7	ARFGAP1_TALONT000335024	ARFGAP1	ENSG00000101199	ISM
TALONT000335055	M38.plum1	plum1	38	0.9216552553211581	38	ENSG00000275066.5_8	SYNRG_TALONT000335055	SYNRG	ENSG00000275066	ISM
TALONT000335072	M32.violet	violet	32	0.76004813319434406	32	ENSG00000251562.8_4	MALAT1_TALONT000335072	MALAT1	ENSG00000251562	Genomic
