"MGI.symbol","ENSMUSG","HGNC.symbol","ENSG","dataset","RBP","msORhs","data.type","dataset.id","regulation","cell.type"
"Abcd3","ENSMUSG00000028127","ABCD3","ENSG00000117528","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Abhd2","ENSMUSG00000039202","ABHD2","ENSG00000140526","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Abi1","ENSMUSG00000058835","ABI1","ENSG00000136754","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Abi2","ENSMUSG00000026782","ABI2","ENSG00000138443","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ablim1","ENSMUSG00000025085","ABLIM1","ENSG00000099204","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Acaca","ENSMUSG00000020532","ACACA","ENSG00000278540","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Acbd6","ENSMUSG00000033701","ACBD6","ENSG00000230124","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ache","ENSMUSG00000023328","ACHE","ENSG00000087085","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Acin1","ENSMUSG00000022185","ACIN1","ENSG00000100813","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Acly","ENSMUSG00000020917","ACLY","ENSG00000131473","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Aco2","ENSMUSG00000022477","ACO2","ENSG00000100412","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Acot7","ENSMUSG00000028937","ACOT7","ENSG00000097021","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Acsf3","ENSMUSG00000015016","ACSF3","ENSG00000176715","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Acsl3","ENSMUSG00000032883","ACSL3","ENSG00000123983","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Actb","ENSMUSG00000029580","ACTB","ENSG00000075624","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Actg1","ENSMUSG00000062825","ACTG1","ENSG00000184009","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Actl6a","ENSMUSG00000027671","ACTL6A","ENSG00000136518","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Actn1","ENSMUSG00000015143","ACTN1","ENSG00000072110","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Actn4","ENSMUSG00000054808","ACTN4","ENSG00000130402","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Actr1b","ENSMUSG00000037351","ACTR1B","ENSG00000115073","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Actr2","ENSMUSG00000020152","ACTR2","ENSG00000138071","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Actr3b","ENSMUSG00000056367","ACTR3B","ENSG00000133627","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Acvr2a","ENSMUSG00000052155","ACVR2A","ENSG00000121989","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Adam10","ENSMUSG00000054693","ADAM10","ENSG00000137845","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Adam15","ENSMUSG00000028041","ADAM15","ENSG00000143537","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Adam9","ENSMUSG00000031555","ADAM9","ENSG00000168615","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Adamtsl1","ENSMUSG00000066113","ADAMTSL1","ENSG00000178031","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Adar","ENSMUSG00000027951","ADAR","ENSG00000160710","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Adarb1","ENSMUSG00000020262","ADARB1","ENSG00000197381","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Adat1","ENSMUSG00000031949","ADAT1","ENSG00000065457","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Adat2","ENSMUSG00000019808","ADAT2","ENSG00000189007","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Adcy6","ENSMUSG00000022994","ADCY6","ENSG00000174233","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Adgrl1","ENSMUSG00000013033","ADGRL1","ENSG00000072071","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Adgrl2","ENSMUSG00000028184","ADGRL2","ENSG00000117114","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Adh5","ENSMUSG00000028138","ADH5","ENSG00000197894","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Adipor1","ENSMUSG00000026457","ADIPOR1","ENSG00000159346","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ado","ENSMUSG00000057134","ADO","ENSG00000181915","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Adss","ENSMUSG00000015961","ADSS2","ENSG00000035687","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Aebp2","ENSMUSG00000030232","AEBP2","ENSG00000139154","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Aff4","ENSMUSG00000049470","AFF4","ENSG00000072364","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Aftph","ENSMUSG00000049659","AFTPH","ENSG00000119844","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Agap1","ENSMUSG00000055013","AGAP1","ENSG00000157985","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Agap3","ENSMUSG00000023353","AGAP3","ENSG00000133612","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Agfg1","ENSMUSG00000026159","AGFG1","ENSG00000173744","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Agk","ENSMUSG00000029916","AGK","ENSG00000006530","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ago2","ENSMUSG00000036698","AGO2","ENSG00000123908","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ago3","ENSMUSG00000028842","AGO3","ENSG00000126070","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Agpat2","ENSMUSG00000026922","AGPAT2","ENSG00000169692","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Agpat3","ENSMUSG00000001211","AGPAT3","ENSG00000160216","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Agpat5","ENSMUSG00000031467","AGPAT5","ENSG00000155189","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Agrp","ENSMUSG00000005705","AGRP","ENSG00000159723","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ahctf1","ENSMUSG00000026491","AHCTF1","ENSG00000153207","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ahcyl1","ENSMUSG00000027893","AHCYL1","ENSG00000168710","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ahdc1","ENSMUSG00000037692","AHDC1","ENSG00000126705","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ahnak","ENSMUSG00000069833","AHNAK","ENSG00000124942","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ahsa1","ENSMUSG00000021037","AHSA1","ENSG00000100591","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Aig1","ENSMUSG00000019806","AIG1","ENSG00000146416","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Aimp2","ENSMUSG00000029610","AIMP2","ENSG00000106305","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Akap1","ENSMUSG00000018428","AKAP1","ENSG00000121057","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Akap13","ENSMUSG00000066406","AKAP13","ENSG00000170776","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Akap6","ENSMUSG00000061603","AKAP6","ENSG00000151320","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Akap8","ENSMUSG00000024045","AKAP8","ENSG00000105127","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Akap9","ENSMUSG00000040407","AKAP9","ENSG00000127914","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Akr1e1","ENSMUSG00000045410","AKR1E2","ENSG00000165568","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Akt2","ENSMUSG00000004056","AKT2","ENSG00000105221","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Akt3","ENSMUSG00000019699","AKT3","ENSG00000117020","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Aldh18a1","ENSMUSG00000025007","ALDH18A1","ENSG00000059573","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Aldh1l1","ENSMUSG00000030088","ALDH1L1","ENSG00000144908","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Aldh6a1","ENSMUSG00000021238","ALDH6A1","ENSG00000119711","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Alg12","ENSMUSG00000035845","ALG12","ENSG00000182858","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Alg14","ENSMUSG00000039887","ALG14","ENSG00000172339","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Alg2","ENSMUSG00000039740","ALG2","ENSG00000119523","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Alg5","ENSMUSG00000036632","ALG5","ENSG00000120697","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Alk","ENSMUSG00000055471","ALK","ENSG00000171094","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Alkbh1","ENSMUSG00000079036","ALKBH1","ENSG00000100601","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Alkbh3","ENSMUSG00000040174","ALKBH3","ENSG00000166199","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Alkbh5","ENSMUSG00000042650","ALKBH5","ENSG00000091542","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Alms1","ENSMUSG00000063810","ALMS1","ENSG00000116127","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Als2","ENSMUSG00000026024","ALS2","ENSG00000003393","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ambra1","ENSMUSG00000040506","AMBRA1","ENSG00000110497","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Amfr","ENSMUSG00000031751","AMFR","ENSG00000159461","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ampd2","ENSMUSG00000027889","AMPD2","ENSG00000116337","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Anapc5","ENSMUSG00000029472","ANAPC5","ENSG00000089053","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Anapc7","ENSMUSG00000029466","ANAPC7","ENSG00000196510","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Angptl6","ENSMUSG00000038742","ANGPTL6","ENSG00000130812","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ank","ENSMUSG00000022265","ANKH","ENSG00000154122","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ank2","ENSMUSG00000032826","ANK2","ENSG00000145362","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ank3","ENSMUSG00000069601","ANK3","ENSG00000151150","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ankib1","ENSMUSG00000040351","ANKIB1","ENSG00000001629","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ankrd10","ENSMUSG00000031508","ANKRD10","ENSG00000088448","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ankrd11","ENSMUSG00000035569","ANKRD11","ENSG00000167522","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ankrd12","ENSMUSG00000034647","ANKRD12","ENSG00000101745","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ankrd13c","ENSMUSG00000039988","ANKRD13C","ENSG00000118454","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ankrd16","ENSMUSG00000047909","ANKRD16","ENSG00000134461","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ankrd17","ENSMUSG00000055204","ANKRD17","ENSG00000132466","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ankrd28","ENSMUSG00000014496","ANKRD28","ENSG00000206560","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ankrd46","ENSMUSG00000048307","ANKRD46","ENSG00000186106","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ankrd50","ENSMUSG00000044864","ANKRD50","ENSG00000151458","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ankrd52","ENSMUSG00000014498","ANKRD52","ENSG00000139645","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Anks1","ENSMUSG00000024219","ANKS1A","ENSG00000064999","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ano10","ENSMUSG00000037949","ANO10","ENSG00000160746","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ano6","ENSMUSG00000064210","ANO6","ENSG00000177119","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Anp32e","ENSMUSG00000015749","ANP32E","ENSG00000143401","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Anxa6","ENSMUSG00000018340","ANXA6","ENSG00000197043","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ap1b1","ENSMUSG00000009090","AP1B1","ENSG00000100280","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ap1g1","ENSMUSG00000031731","AP1G1","ENSG00000166747","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ap1s1","ENSMUSG00000004849","AP1S1","ENSG00000106367","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ap2a2","ENSMUSG00000002957","AP2A2","ENSG00000183020","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ap3b1","ENSMUSG00000021686","AP3B1","ENSG00000132842","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ap3d1","ENSMUSG00000020198","AP3D1","ENSG00000065000","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ap3s1","ENSMUSG00000024480","AP3S1","ENSG00000177879","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ap3s2","ENSMUSG00000063801","AP3S2","ENSG00000157823","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Apbb2","ENSMUSG00000029207","APBB2","ENSG00000163697","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Apc2","ENSMUSG00000020135","APC2","ENSG00000115266","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Apeh","ENSMUSG00000032590","APEH","ENSG00000164062","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"App","ENSMUSG00000022892","APP","ENSG00000142192","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Aqp11","ENSMUSG00000042797","AQP11","ENSG00000178301","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Araf","ENSMUSG00000001127","ARAF","ENSG00000078061","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arfgap1","ENSMUSG00000027575","ARFGAP1","ENSG00000101199","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arfgef1","ENSMUSG00000067851","ARFGEF1","ENSG00000066777","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arglu1","ENSMUSG00000040459","ARGLU1","ENSG00000134884","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arhgap1","ENSMUSG00000027247","ARHGAP1","ENSG00000175220","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arhgap12","ENSMUSG00000041225","ARHGAP12","ENSG00000165322","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arhgap17","ENSMUSG00000030766","ARHGAP17","ENSG00000140750","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arhgap18","ENSMUSG00000039031","ARHGAP18","ENSG00000146376","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arhgap21","ENSMUSG00000036591","ARHGAP21","ENSG00000107863","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arhgap22","ENSMUSG00000063506","ARHGAP22","ENSG00000128805","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arhgap23","ENSMUSG00000049807","ARHGAP23","ENSG00000275832","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arhgap39","ENSMUSG00000033697","ARHGAP39","ENSG00000147799","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arhgap5","ENSMUSG00000035133","ARHGAP5","ENSG00000100852","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arhgdia","ENSMUSG00000025132","ARHGDIA","ENSG00000141522","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arhgef10","ENSMUSG00000071176","ARHGEF10","ENSG00000104728","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arhgef10l","ENSMUSG00000040964","ARHGEF10L","ENSG00000074964","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arhgef11","ENSMUSG00000041977","ARHGEF11","ENSG00000132694","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arhgef2","ENSMUSG00000028059","ARHGEF2","ENSG00000116584","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arhgef28","ENSMUSG00000021662","ARHGEF28","ENSG00000214944","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arhgef3","ENSMUSG00000021895","ARHGEF3","ENSG00000163947","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arhgef7","ENSMUSG00000031511","ARHGEF7","ENSG00000102606","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arid1a","ENSMUSG00000007880","ARID1A","ENSG00000117713","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arid1b","ENSMUSG00000069729","ARID1B","ENSG00000049618","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arid2","ENSMUSG00000033237","ARID2","ENSG00000189079","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arid4b","ENSMUSG00000039219","ARID4B","ENSG00000054267","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arid5b","ENSMUSG00000019947","ARID5B","ENSG00000150347","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arl14ep","ENSMUSG00000027122","ARL14EP","ENSG00000152219","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arl15","ENSMUSG00000042348","ARL15","ENSG00000185305","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arl8b","ENSMUSG00000030105","ARL8B","ENSG00000134108","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Armc10","ENSMUSG00000038525","ARMC10","ENSG00000170632","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Armc8","ENSMUSG00000032468","ARMC8","ENSG00000114098","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arnt","ENSMUSG00000015522","ARNT","ENSG00000143437","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arpc2","ENSMUSG00000006304","ARPC2","ENSG00000163466","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arrb1","ENSMUSG00000018909","ARRB1","ENSG00000137486","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arrdc2","ENSMUSG00000002910","ARRDC2","ENSG00000105643","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arsb","ENSMUSG00000042082","ARSB","ENSG00000113273","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arsg","ENSMUSG00000020604","ARSG","ENSG00000141337","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Arvcf","ENSMUSG00000000325","ARVCF","ENSG00000099889","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Asap1","ENSMUSG00000022377","ASAP1","ENSG00000153317","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Asap2","ENSMUSG00000052632","ASAP2","ENSG00000151693","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ascc2","ENSMUSG00000020412","ASCC2","ENSG00000100325","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ascc3","ENSMUSG00000038774","ASCC3","ENSG00000112249","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ash1l","ENSMUSG00000028053","ASH1L","ENSG00000116539","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ash2l","ENSMUSG00000031575","ASH2L","ENSG00000129691","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Asna1","ENSMUSG00000052456","GET3","ENSG00000198356","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Asns","ENSMUSG00000029752","ASNS","ENSG00000070669","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Aspdh","ENSMUSG00000038704","ASPDH","ENSG00000204653","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Asrgl1","ENSMUSG00000024654","ASRGL1","ENSG00000162174","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Astn1","ENSMUSG00000026587","ASTN1","ENSG00000152092","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Asxl1","ENSMUSG00000042548","ASXL1","ENSG00000171456","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Asxl2","ENSMUSG00000037486","ASXL2","ENSG00000143970","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Asz1","ENSMUSG00000010796","ASZ1","ENSG00000154438","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Atad2b","ENSMUSG00000052812","ATAD2B","ENSG00000119778","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Ate1","ENSMUSG00000030850","ATE1","ENSG00000107669","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Atf1","ENSMUSG00000023027","ATF1","ENSG00000123268","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
"Atf2","ENSMUSG00000027104","ATF2","ENSG00000115966","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA,"N2A"
