gene_id,module
ENSG00000011007,isoExpr.M22_darkgreen
ENSG00000057757,isoExpr.M14_cyan
ENSG00000011009,isoExpr.M6_red
ENSG00000117308,isoExpr.M8_pink
ENSG00000117305,isoExpr.M4_yellow
ENSG00000189266,isoExpr.M15_midnightblue
ENSG00000189266,isoExpr.M15_midnightblue
ENSG00000188529,isoExpr.M4_yellow
ENSG00000001461,isoExpr.M2_blue
ENSG00000133226,isoExpr.M2_blue
ENSG00000117614,isoExpr.M3_brown
ENSG00000117616,isoExpr.M36_yellowgreen
ENSG00000183726,isoExpr.M1_turquoise
ENSG00000183726,isoExpr.M1_turquoise
ENSG00000183726,isoExpr.M1_turquoise
ENSG00000117632,isoExpr.M3_brown
ENSG00000117632,isoExpr.M21_darkred
ENSG00000117632,isoExpr.M9_magenta
ENSG00000175087,isoExpr.M1_turquoise
ENSG00000175087,isoExpr.M20_royalblue
ENSG00000175087,isoExpr.M20_royalblue
ENSG00000130695,isoExpr.M26_darkorange
ENSG00000130695,isoExpr.M26_darkorange
ENSG00000142669,isoExpr.M3_brown
ENSG00000142669,isoExpr.M3_brown
ENSG00000198830,isoExpr.M2_blue
ENSG00000198830,isoExpr.M2_blue
ENSG00000198830,isoExpr.M2_blue
ENSG00000198830,isoExpr.M12_tan
ENSG00000198830,isoExpr.M2_blue
ENSG00000198746,isoExpr.M3_brown
ENSG00000090273,isoExpr.M3_brown
ENSG00000158195,isoExpr.M2_blue
ENSG00000126709,isoExpr.M3_brown
ENSG00000117758,isoExpr.M1_turquoise
ENSG00000117748,isoExpr.M3_brown
ENSG00000126698,isoExpr.M3_brown
ENSG00000130770,isoExpr.M3_brown
ENSG00000130770,isoExpr.M47_bisque4
ENSG00000204138,isoExpr.M15_midnightblue
ENSG00000180198,isoExpr.M15_midnightblue
ENSG00000162419,isoExpr.M8_pink
ENSG00000198492,isoExpr.M3_brown
ENSG00000116350,isoExpr.M3_brown
ENSG00000060656,isoExpr.M1_turquoise
ENSG00000134644,isoExpr.M2_blue
ENSG00000134644,isoExpr.M36_yellowgreen
ENSG00000134644,isoExpr.M5_green
ENSG00000060688,isoExpr.M4_yellow
ENSG00000121766,isoExpr.M6_red
ENSG00000121766,isoExpr.M14_cyan
ENSG00000121766,isoExpr.M8_pink
ENSG00000121769,isoExpr.M1_turquoise
ENSG00000168528,isoExpr.M2_blue
ENSG00000162517,isoExpr.M3_brown
ENSG00000121774,isoExpr.M3_brown
ENSG00000121774,isoExpr.M3_brown
